epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2466.21,0.50996,0.25211,0.89049,0.9846,0.99256,0.99377,0.88366,0.57893,0.27433,0.9424,0.000242087,0.000242087,0.000242087
81,2497.13,0.50471,0.24992,0.89581,0.98357,0.99313,0.99349,0.88246,0.57733,0.27372,0.93796,0.000231088,0.000231088,0.000231088
82,2527.57,0.50866,0.25059,0.89786,0.98432,0.99532,0.99393,0.89,0.5683,0.27236,0.93608,0.000220089,0.000220089,0.000220089
83,2559.81,0.50114,0.24674,0.89816,0.98352,0.99202,0.99302,0.88775,0.56429,0.26911,0.93655,0.00020909,0.00020909,0.00020909
84,2590.35,0.48866,0.24309,0.89154,0.98307,0.99265,0.99378,0.89064,0.56649,0.26869,0.93789,0.000198091,0.000198091,0.000198091
85,2621.43,0.49517,0.24384,0.89039,0.98032,0.99493,0.99382,0.88453,0.57323,0.27465,0.94634,0.000187092,0.000187092,0.000187092
86,2651.98,0.49442,0.24463,0.89284,0.97777,0.99533,0.9939,0.88835,0.57223,0.26925,0.9429,0.000176094,0.000176094,0.000176094
87,2683.06,0.49166,0.23946,0.89417,0.98058,0.9944,0.99346,0.88938,0.56789,0.26865,0.93712,0.000165095,0.000165095,0.000165095
88,2714.82,0.49069,0.24037,0.89178,0.98433,0.99355,0.9942,0.887,0.57448,0.27022,0.94173,0.000154096,0.000154096,0.000154096
89,2746.26,0.48986,0.23844,0.88643,0.98336,0.99214,0.99397,0.88938,0.57303,0.27114,0.9443,0.000143097,0.000143097,0.000143097
90,2776.66,0.48333,0.23849,0.88824,0.98179,0.99548,0.99389,0.89025,0.57086,0.26851,0.93996,0.000132098,0.000132098,0.000132098
